,,,,,,,Daily Price Arrival Report-25-08-2026 to 25-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Pune,Pune(Khadiki) APMC,Vegetables,Onion,Local,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,25-08-2026
Maharashtra,Pune,Pune(Manjri) APMC,Vegetables,Onion,Local,Local,"1,700.00","4,000.00","3,000.00",Rs./Quintal,10.50,Metric Tonnes,25-08-2026
Maharashtra,Pune,Pune(Moshi) APMC,Vegetables,Onion,Local,Local,"1,500.00","3,500.00","2,500.00",Rs./Quintal,48.10,Metric Tonnes,25-08-2026
Maharashtra,Pune,Pune(Pimpri) APMC,Vegetables,Onion,Local,Local,"2,200.00","3,700.00","2,950.00",Rs./Quintal,1.60,Metric Tonnes,25-08-2026
Maharashtra,Sangli,Islampur APMC,Vegetables,Onion,Local,Local,"2,000.00","4,000.00","2,600.00",Rs./Quintal,6.00,Metric Tonnes,25-08-2026
Maharashtra,Sangli,"Sangli(Phale, Bhajipala Market) APMC",Vegetables,Onion,Local,Local,"1,500.00","4,700.00","3,100.00",Rs./Quintal,165.80,Metric Tonnes,25-08-2026
Maharashtra,Satara,Karad APMC,Vegetables,Onion,Halva,Local,"3,000.00","4,000.00","4,000.00",Rs./Quintal,24.90,Metric Tonnes,25-08-2026
Maharashtra,Satara,Satara APMC,Vegetables,Onion,Other,Local,"2,000.00","4,500.00","3,250.00",Rs./Quintal,8.00,Metric Tonnes,25-08-2026
Maharashtra,Satara,Vaduj APMC,Vegetables,Onion,Local,Local,"3,000.00","4,600.00","3,900.00",Rs./Quintal,7.00,Metric Tonnes,25-08-2026
Maharashtra,Solapur,Pandharpur APMC,Vegetables,Onion,Red,Local,600.00,"4,500.00","2,800.00",Rs./Quintal,89.20,Metric Tonnes,25-08-2026
Maharashtra,Solapur,SHRI.SIDDHESHWAR  APMC,Vegetables,Onion,Red,Local,500.00,"5,500.00","3,000.00",Rs./Quintal,"1,794.90",Metric Tonnes,25-08-2026

